Vaisala Hum,SGS Temp,SGS RAW
7,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.4,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.4,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56981
75.2,25.3,56980
75.2,25.3,56980
75.2,25.4,56980
75.2,25.3,56981
75.2,25.4,56981
75.2,25.4,56981
75.2,25.4,56981
75.2,25.4,56980
75.2,25.3,56981
75.2,25.2,56981
75.2,25.2,56981
75.2,25.3,56981
75.2,25.4,56982
75.2,25.4,56981
75.2,25.4,56981
75.2,25.3,56981
75.2,25.4,56981
75.2,25.3,56982
75.2,25.3,56981
75.2,25.2,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56980
75.2,25.3,56981
75.2,25.4,56980
75.2,25.4,56980
75.2,25.3,56980
75.2,25.3,56981
75.2,25.3,56981
75.2,25.3,56981
75.2,25.3,56980
75.2,25.4,56981
75.2,25.3,56981
75.2,25.3,56982
75.2,25.3,56981
75.2,25.3,56980
75.2,25.3,56981
75.3,25.3,56980
75.3,25.3,56981
75.3,25.3,56981
75.3,25.3,56981
75.3,25.4,56981
75.3,25.4,56980
75.3,25.4,56981
75.3,25.4,56981
75.3,25.3,56980
75.3,25.3,56981
75.3,25.4,56981
75.3,25.3,56981
75.3,25.3,56981
75.3,25.3,56982
75.3,25.3,56981
75.3,25.3,56982
75.3,25.4,56981
75.3,25.3,56981
75.3,25.3,56981
75.3,25.2,56981
75.3,25.3,56980
75.3,25.3,56980
75.3,25.3,56979
75.3,25.3,56978
75.3,25.3,56976
75.3,25.4,56974
75.3,25.3,56973
75.3,25.3,56973
75.3,25.3,56972
75.3,25.4,56972
75.3,25.4,56971
75.3,25.3,56971
75.3,25.3,56970
75.3,25.3,56970
75.3,25.3,56969
75.3,25.3,56969
75.3,25.3,56967
75.4,25.3,56967
75.4,25.4,56967
75.5,25.4,56967
75.5,25.5,56967
75.5,25.4,56967
75.6,25.3,56967
75.6,25.3,56966
75.7,25.3,56966
75.7,25.4,56967
75.7,25.4,56966
75.8,25.4,56966
75.8,25.4,56967
75.8,25.3,56967
75.8,25.3,56966
75.9,25.3,56966
75.9,25.3,56966
75.9,25.4,56964
76,25.4,56965
76,25.4,56965
76,25.4,56966
76.1,25.4,56966
76.1,25.4,56966
76.1,25.3,56965
76.2,25.4,56963
76.2,25.4,56962
76.2,25.4,56962
76.2,25.4,56963
76.2,25.5,56961
76.3,25.5,56961
76.3,25.5,56962
76.3,25.5,56962
76.3,25.4,56964
76.3,25.5,56963
76.3,25.4,56963
76.4,25.4,56964
76.4,25.4,56965
76.4,25.4,56964
76.4,25.4,56964
76.4,25.4,56962
76.4,25.4,56963
76.4,25.4,56963
76.5,25.4,56962
76.5,25.4,56962
76.5,25.4,56960
76.5,25.4,56961
76.5,25.4,56961
76.5,25.4,56961
76.5,25.4,56961
76.4,25.4,56959
76.4,25.4,56961
76.3,25.4,56960
76.3,25.4,56960
76.2,25.5,56959
76.2,25.5,56959
76.1,25.5,56959
76,25.5,56957
75.9,25.5,56957
75.8,25.5,56957
75.6,25.5,56957
75.5,25.5,56956
75.4,25.5,56955
75.1,25.5,56955
75.1,25.5,56953
74.9,25.5,56952
74.7,25.5,56949
74.6,25.6,56947
74.2,25.6,56945
73.9,25.5,56939
73.7,25.4,56937
73.5,25.4,56935
73.2,25.5,56932
72.9,25.4,56930
72.5,25.5,56927
72.1,25.5,56923
71.7,25.5,56919
71.3,25.5,56915
70.5,25.5,56910
70,25.5,56905
69.5,25.5,56899
69,25.5,56894
68.5,25.5,56889
68.5,25.4,56885
67.2,25.4,56883
66.4,25.4,56876
66,25.5,56871
65.3,25.5,56869
64.8,25.5,56866
64.1,25.4,56856
63.6,25.4,56851
62.8,25.3,56847
62.3,25.4,56843
61.6,25.5,56834
60.3,25.5,56829
59.9,25.4,56822
59.4,25.4,56817
58.7,25.3,56808
57.6,25.4,56801
56.9,25.4,56794
56.5,25.4,56787
55.8,25.4,56780
55.2,25.4,56773
54.5,25.4,56763
53.4,25.4,56754
52.7,25.4,56753
52.1,25.3,56753
51.4,25.4,56750
51.1,25.4,56737
50.3,25.4,56730
49.4,25.4,56724
48.6,25.5,56718
48.6,25.6,56710
47.5,25.6,56707
47.1,25.7,56700
46.5,25.5,56694
46,25.4,56690
45.4,25.4,56684
44.4,25.5,56677
44.1,25.5,56672
43.7,25.5,56668
43.2,25.4,56665
42.7,25.4,56658
42.2,25.4,56655
41.3,25.4,56651
40.7,25.4,56649
40.4,25.4,56645
39.9,25.4,56643
39.3,25.4,56638
39.3,25.4,56635
38.4,25.4,56629
38.1,25.4,56618
38.1,25.5,56612
37.2,25.5,56610
37.2,25.4,56608
36.3,25.4,56603
36.3,25.4,56599
35.4,25.4,56596
34.9,25.4,56589
34.3,25.4,56588
33.9,25.3,56580
33.6,25.3,56571
33.1,25.3,56564
32.9,25.4,56559
32.4,25.4,56556
31.7,25.3,56559
31.2,25.3,56554
31,25.3,56543
30.3,25.3,56541
29.9,25.4,56538
29.5,25.4,56536
29.1,25.4,56530
28.5,25.3,56525
28.2,25.3,56522
27.7,25.3,56519
27.4,25.3,56514
26.8,25.3,56510
26.4,25.3,56507
26.2,25.3,56502
25.7,25.3,56502
25.1,25.2,56492
24.9,25.3,56487
24.6,25.3,56482
24.1,25.3,56483
23.9,25.3,56477
23.6,25.3,56471
23.2,25.3,56469
22.7,25.3,56469
22.5,25.3,56464
22.2,25.3,56463
21.8,25.3,56459
21.6,25.3,56452
21.2,25.3,56448
21,25.3,56446
20.6,25.2,56446
20.4,25.2,56448
20.2,25.3,56443
19.8,25.3,56434
19.6,25.2,56431
19.3,25.1,56430
19.2,25.2,56433
18.8,25.2,56434
18.7,25.2,56429
18.5,25.2,56421
18.2,25.2,56413
18.1,25.2,56403
17.9,25.1,56403
17.7,25.2,56417
17.4,25.3,56423
17.3,25.3,56428
17.1,25.2,56429
17,25.2,56424
16.7,25.2,56416
16.6,25.1,56410
16.4,25.2,56409
16.3,25.2,56407
16.1,25.2,56404
16,25.1,56405
16,25.1,56404
15.7,25.2,56403
15.7,25.1,56399
15.4,25.1,56401
15.3,25,56407
15.1,25.1,56410
15,25.1,56405
14.9,25.2,56399
14.8,25.1,56396
14.6,25,56400
14.5,25,56394
14.4,25,56395
14.3,25,56392
14.3,25,56388
14.1,25.1,56383
14,25,56385
13.9,24.9,56381
13.9,25,56376
13.7,25,56370
13.6,25.1,56361
13.5,25,56356
13.5,25,56360
13.3,25,56357
13.3,24.9,56354
13.2,24.9,56360
13.1,25,56359
13.1,25.1,56358
12.9,25,56358
12.9,25,56361
12.8,24.9,56361
12.8,24.9,56360
12.7,24.9,56358
12.6,24.8,56356
12.5,24.9,56357
12.5,24.9,56359
12.4,24.8,56360
12.4,24.8,56360
12.3,24.8,56360
12.3,24.9,56360
12.2,24.9,56362
12.2,24.9,56362
12.1,24.9,56354
12.1,24.9,56349
12.1,24.9,56351
12,24.8,56349
11.9,24.8,56345
11.9,24.7,56344
11.9,24.8,56345
11.9,24.8,56345
11.8,24.9,56342
11.8,24.9,56338
11.8,24.8,56335
11.7,24.8,56337
11.7,24.8,56332
11.6,24.8,56331
11.6,24.8,56331
11.6,24.8,56330
11.6,24.8,56330
11.5,24.8,56332
11.5,24.8,56332
11.5,24.7,56335
11.5,24.8,56330
11.4,24.7,56329
11.4,24.7,56325
11.4,24.7,56325
11.4,24.7,56324
11.3,24.7,56320
11.3,24.6,56321
11.3,24.7,56319
11.3,24.8,56321
11.2,24.8,56318
11.2,24.7,56318
11.2,24.7,56318
11.2,24.7,56318
11.2,24.6,56313
11.2,24.6,56309
11.1,24.7,56304
11.1,24.8,56298
11.1,24.7,56296
11.1,24.7,56297
11,24.7,56298
11,24.7,56302
11,24.7,56306
11,24.7,56302
11,24.7,56295
11,24.6,56285
11,24.6,56281
11,24.6,56282
10.9,24.6,56282
10.9,24.6,56290
10.9,24.6,56296
10.9,24.7,56294
10.9,24.7,56292
10.9,24.7,56291
10.8,24.6,56284
10.8,24.7,56278
10.8,24.6,56276
10.8,24.6,56277
10.8,24.6,56283
10.8,24.6,56291
10.8,24.7,56296
10.8,24.7,56302
10.8,24.7,56304
10.8,24.6,56305
10.8,24.6,56305
10.8,24.6,56303
10.8,24.6,56298
10.8,24.5,56298
10.8,24.5,56295
10.8,24.6,56291
10.8,24.6,56287
10.8,24.7,56288
10.8,24.6,56292
10.8,24.6,56289
10.8,24.5,56289
10.8,24.5,56287
10.8,24.5,56288
10.8,24.6,56294
10.8,24.5,56296
10.8,24.5,56294
10.8,24.4,56292
10.8,24.5,56286
10.8,24.6,56278
10.8,24.6,56276
10.8,24.6,56276
10.8,24.5,56276
10.8,24.4,56275
10.8,24.5,56276
10.8,24.5,56275
10.8,24.6,56276
10.8,24.5,56276
10.8,24.5,56276
10.8,24.5,56277
10.8,24.5,56278
10.8,24.6,56276
10.8,24.5,56276
10.8,24.4,56274
10.8,24.4,56272
10.8,24.4,56274
10.8,24.5,56275
10.8,24.6,56275
10.8,24.5,56272
10.8,24.5,56271
10.8,24.6,56268
10.8,24.5,56267
10.8,24.5,56267
10.8,24.4,56266
10.8,24.5,56271
10.8,24.5,56271
