Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS Calc,SGS 2 Hum,SGS 2 Temp,SGS 2 RAW,SGS 2 Calc
15:03:33,100,29.91,NaN,29.9,122.8,30.3,57615,122.85,113.3,29.6,522920,12230.86
15:03:34,100,29.94,NaN,30,122.8,30.3,57614,122.8,113.3,29.6,522906,12230.49
15:03:35,100,29.96,NaN,30,122.8,30.3,57614,122.8,113.4,29.6,522896,12230.23
15:03:36,100,29.99,NaN,30,122.8,30.3,57613,122.74,113.5,29.7,522884,12229.92
15:03:37,100,30.01,NaN,30,122.7,30.2,57613,122.74,113.6,29.7,522875,12229.68
15:03:38,100,30.03,NaN,30,122.7,30.1,57613,122.74,113.7,29.7,522867,12229.47
15:03:39,100,30.05,NaN,30,122.7,30,57613,122.74,113.7,29.8,522859,12229.26
15:03:40,100,30.07,NaN,30.1,122.7,30,57612,122.68,113.8,29.8,522855,12229.16
15:03:41,100,30.09,NaN,30.1,122.6,30,57612,122.68,113.9,29.8,522834,12228.6
15:03:42,100,30.1,NaN,30.1,122.6,30,57611,122.63,113.9,29.8,522827,12228.42
15:03:43,100,30.12,NaN,30.1,122.6,30,57610,122.57,114,29.8,522821,12228.26
15:03:44,100,30.14,NaN,30.1,122.6,29.9,57610,122.57,114,29.8,522816,12228.13
15:03:45,100,30.15,NaN,30.2,122.6,30,57610,122.57,114.1,29.8,522807,12227.9
15:03:46,100,30.16,NaN,30.2,122.5,30,57610,122.57,114.1,29.8,522801,12227.74
15:03:47,100,30.17,NaN,30.2,122.5,30.1,57609,122.51,114.2,29.8,522796,12227.61
15:03:48,100,30.18,NaN,30.2,122.5,30.1,57608,122.46,114.2,29.8,522788,12227.4
15:03:49,100,30.2,NaN,30.2,122.5,30,57608,122.46,114.3,29.8,522781,12227.21
15:03:50,100,30.21,NaN,30.2,122.4,30,57607,122.4,114.3,29.8,522778,12227.13
15:03:51,100,30.22,NaN,30.2,122.4,30.1,57607,122.4,114.4,29.8,522772,12226.98
15:03:52,100,30.23,NaN,30.2,122.4,30.1,57606,122.35,114.4,29.9,522768,12226.87
15:03:53,100,30.23,NaN,30.3,122.4,30,57605,122.29,114.4,29.9,522761,12226.69
15:03:54,100,30.24,NaN,30.3,122.3,30.1,57605,122.29,114.5,29.9,522756,12226.56
15:03:55,100,30.25,NaN,30.3,122.3,30,57604,122.23,114.5,29.9,522752,12226.45
15:03:56,100,30.26,NaN,30.3,122.2,30,57603,122.18,114.5,29.9,522746,12226.29
15:03:57,100,30.26,NaN,30.3,122.2,30,57602,122.12,114.6,29.9,522745,12226.27
